"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C12,C13,C16,C17,C19,C20","4.7u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","9",""
"C4,C5,C6,C7,C8,C9,C10,C11,C15","0.1u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","9",""
"C14,C18","47u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"J1","6P6C","~","Connector_RJ:RJ25_Wayconn_MJEA-660X1_Horizontal","1",""
"J2","SJ1-3555NG-GR","","CUI_SJ1-3555NG-GR","1",""
"R1,R3,R6","47k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R2","PTD902-2015K-B503","","PTN16_A500120K1C2:POT_PTD902-2015K-B503","1",""
"R4,R5,R8","2.2k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R7,R9","200","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R10,R11,R12,R13","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"TP1,TP2,TP6,TP7,TP8,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19","TestPoint","~","TestPoint:TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded","15",""
"U1","LME49721MA","","LME49721MAX_NOPB:SOIC127P599X175-8N","1",""
"U2","LM2664M6","","LM2664M6X_NOPB:SOT95P280X145-6N","1",""
"U3","Pico","","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH","1",""
"U4,U8,U9,U10,U11","BAT54LT1G","BAT54LT1G","SOT-23-3_1P4X3P040_ONS","5",""
"U5","XC6901D251PR-G","XC6901D251PR-G","XC6901D251PR-G:SOT_D251PR-G_TOR","1",""
"U6","TLV74125PDBVR","TLV74125PDBVR","TLV74125PDBVR:DBV0005A_N","1",""
"U7","LM4040CIM3X-3.0/NOPB","LM4040CIM3X-3.0/NOPB","LM4040CIM3X-3.0:DBZ3","1",""
